popln,age,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
1,1,0.1148,0.0348,0.3667,0.0778,0.3341,0.1367,0.1924,0.0914,0.0395,0.0003,0.0048,0.0354,0.0274,0.0435,0.003,0.0544,0.0606,0.0144,0.0029,0.0112,0.0527,0.1138,0.0104,0.0475,0.0032,0.0006,0.0036,0.0012,0.0302,0.0023,0.0016,0.0017,0.0019,0.0017,0.0015,0.001
1,2,0.1116,0.4157,0.236,0.5022,0.495,0.7354,0.7647,0.3477,0.2917,0.0005,0.0007,0.3203,0.6556,0.3863,0.2271,0.2077,0.5419,0.2771,0.1942,0.1332,0.1592,0.1903,0.2521,0.4692,0.222,0.3575,0.1954,0.2261,0.164,0.1941,0.1298,0.1447,0.1556,0.1437,0.1257,0.0794
1,3,0.3485,0.9815,0.4273,0.5864,0.7719,0.8823,1.2087,0.5926,0.2636,0.0007,0.0004,0.4284,0.5959,0.5888,0.4929,0.2985,0.4626,0.3198,0.3018,0.2916,0.2273,0.1477,0.3449,0.3318,0.3954,0.3094,0.2344,0.2964,0.2264,0.3304,0.2209,0.2463,0.2649,0.2447,0.2141,0.1352
1,4,0.3985,0.8603,0.2988,0.6284,0.9095,0.854,1.0803,0.9222,0.5135,0.0003,0.0006,0.3965,0.8017,0.4885,0.4372,0.2977,0.3925,0.2956,0.3213,0.2063,0.3117,0.2303,0.1915,0.2381,0.1596,0.3561,0.1375,0.3784,0.4567,0.2669,0.1784,0.1989,0.2139,0.1977,0.1729,0.1092
1,5,0.368,0.677,0.4065,0.592,0.9282,0.9018,0.8904,0.945,0.737,0.0002,0.0002,0.3031,0.7157,0.9598,0.4396,0.3061,0.5421,0.254,0.2674,0.3104,0.4373,0.2285,0.2502,0.1398,0.2246,0.1877,0.1829,0.5227,0.4574,0.3554,0.2376,0.2649,0.2849,0.2632,0.2303,0.1454
1,6,0.2985,0.6015,0.3156,0.6037,1.2029,0.9864,1.0643,1.4519,1.0791,0.0014,0.0002,0.3057,0.56,0.776,0.6481,0.316,0.6294,0.4403,0.2011,0.1395,0.3501,0.3703,0.2957,0.2397,0.1068,0.1714,0.1123,0.7227,0.6374,0.2829,0.1892,0.2109,0.2268,0.2095,0.1833,0.1157
1,7,0.4369,0.5381,0.461,0.3436,0.8659,1.0168,1.0864,0.8636,0.9782,0.0023,0.0016,0.299,0.4465,0.7275,0.5833,0.9442,0.1742,0.5002,0.2695,0.1386,0.2423,0.3067,0.2648,0.2427,0.2391,0.1454,0.2623,0.7759,0.8623,0.2791,0.1866,0.2081,0.2237,0.2067,0.1809,0.1142
1,8,0.3015,0.6358,0.3353,0.5225,0.8122,0.8596,0.9699,0.7973,0.6057,0.0009,0.0006,0.3308,0.6129,0.6072,0.4411,0.3758,0.4464,0.3365,0.2467,0.187,0.2674,0.2376,0.2561,0.2857,0.2137,0.2565,0.1816,0.4575,0.439,0.2669,0.1784,0.1989,0.2139,0.1977,0.1729,0.1092
1,9,0.3015,0.6358,0.3353,0.5225,0.8122,0.8596,0.9699,0.7973,0.6057,0.0009,0.0006,0.3308,0.6129,0.6072,0.4411,0.3758,0.4464,0.3365,0.2467,0.187,0.2674,0.2376,0.2561,0.2857,0.2137,0.2565,0.1816,0.4575,0.439,0.2669,0.1784,0.1989,0.2139,0.1977,0.1729,0.1092
2,1,0.0005,0.0017,0.0021,0.0191,0.009,0.0287,0.0385,0.0122,0.0154,0.0096,0.0086,0.0038,0.0017,0.001,0.0046,0.0123,0.0015,0.0059,0,0.005,0.0017,0.0021,0.01,0.0005,0.0235,0.001,0.0094,0.0155,0.0255,0.0114,0.0124,0.0087,0.0095,0.0077,0.0069,
2,2,0.3799,0.0488,0.117,0.189,0.1924,0.2483,0.2579,0.234,0.2464,0.1646,0.1382,0.1427,0.0875,0.2183,0.116,0.0514,0.0721,0.1589,0.0288,0.0473,0.1184,0.1445,0.1032,0.1714,0.3368,0.1496,0.1866,0.2488,0.3586,0.4321,0.2836,0.1798,0.2158,0.1716,0.1667,
2,3,0.2386,0.1279,0.2397,0.3044,0.3178,0.2656,0.3992,0.1928,0.2317,0.1879,0.3539,0.2217,0.1635,0.3854,0.231,0.1402,0.1178,0.3334,0.2642,0.1072,0.1928,0.1985,0.2834,0.2281,0.4526,0.3939,0.5368,0.3287,0.7282,0.6292,0.5112,0.4082,0.433,0.3286,0.3238,
